,MJD,V,E_V,CHI2,FILENAME,SNR,EXPTIME,AIRMASS,WAVE_CAL,BARYCOR,RVEPOCH,ACCEPT,MASK
0,59084.68916312529,6749.965,580.168,5.556,Sun_200823.1063.fits,22,600.004,-999.9,LFC+ThAr,chromatic,5,False,ESPRESSO_G2.fits
1,59084.69745787035,1259.052,61.169,234.502,Sun_200823.1064.fits,132,600.003,-999.9,LFC+ThAr,chromatic,5,True,ESPRESSO_G2.fits
2,59084.70536064223,-2185.799,36.053,708.592,Sun_200823.1065.fits,225,600.003,-999.9,LFC+ThAr,chromatic,5,True,ESPRESSO_G2.fits
3,59084.71090798062,-26.796,,2856.32,Sun_200823.1066.fits,443,399.475,-999.9,LFC+ThAr,chromatic,5,False,ESPRESSO_G2.fits
4,59084.71495819851,-1268.228,17.456,2819.593,Sun_200823.1067.fits,442,235.319,-999.9,LFC+ThAr,chromatic,5,True,ESPRESSO_G2.fits
5,59084.71927693581,-526.45,21.797,2807.805,Sun_200823.1070.fits,441,181.276,-999.9,LFC+ThAr,chromatic,5,True,ESPRESSO_G2.fits
6,59084.72173319574,-584.102,24.147,2799.561,Sun_200823.1071.fits,442,179.132,-999.9,LFC+ThAr,chromatic,5,True,ESPRESSO_G2.fits
7,59084.72417836882,-524.731,21.707,2801.134,Sun_200823.1072.fits,443,179.399,-999.9,LFC+ThAr,chromatic,5,True,ESPRESSO_G2.fits
8,59084.72662842306,-526.315,21.78,2792.467,Sun_200823.1073.fits,442,177.896,-999.9,LFC+ThAr,chromatic,5,True,ESPRESSO_G2.fits
9,59084.72906653966,-472.503,19.559,2803.503,Sun_200823.1074.fits,441,177.287,-999.9,LFC+ThAr,chromatic,5,True,ESPRESSO_G2.fits
10,59084.7331415665,-622.625,25.765,2784.255,Sun_200823.1077.fits,442,176.14,-999.9,LFC+ThAr,chromatic,5,True,ESPRESSO_G2.fits
11,59084.73553806592,-513.127,21.25,2831.965,Sun_200823.1078.fits,442,174.513,-999.9,LFC+ThAr,chromatic,5,True,ESPRESSO_G2.fits
12,59084.73793531924,-522.483,14.419,2783.353,Sun_200823.1079.fits,440,174.588,-999.9,LFC+ThAr,chromatic,5,True,ESPRESSO_G2.fits
13,59084.7403371152,-662.136,27.383,2777.437,Sun_200823.1080.fits,440,175.135,-999.9,LFC+ThAr,chromatic,5,True,ESPRESSO_G2.fits
14,59084.74271811214,-499.474,13.781,2814.09,Sun_200823.1081.fits,442,172.946,-999.9,LFC+ThAr,chromatic,5,True,ESPRESSO_G2.fits
15,59084.7467390065,-623.585,25.839,2809.413,Sun_200823.1084.fits,442,171.096,-999.9,LFC+ThAr,chromatic,5,True,ESPRESSO_G2.fits
16,59084.74909878153,-564.907,23.419,2786.909,Sun_200823.1085.fits,441,170.575,-999.9,LFC+ThAr,chromatic,5,True,ESPRESSO_G2.fits
17,59084.75147836035,-657.139,18.156,2810.231,Sun_200823.1086.fits,440,171.12,-999.9,LFC+ThAr,chromatic,5,True,ESPRESSO_G2.fits
18,59084.75384024388,-571.572,15.775,2787.409,Sun_200823.1087.fits,443,170.232,-999.9,LFC+ThAr,chromatic,5,True,ESPRESSO_G2.fits
19,59084.7561812348,-627.737,13.054,2775.305,Sun_200823.1088.fits,440,168.263,-999.9,LFC+ThAr,chromatic,5,True,ESPRESSO_G2.fits
20,59084.76020801963,-566.134,23.533,2765.702,Sun_200823.1091.fits,439,168.365,-999.9,LFC+ThAr,chromatic,5,True,ESPRESSO_G2.fits
21,59084.76253023995,-468.751,12.984,2756.19,Sun_200823.1092.fits,441,168.102,-999.9,LFC+ThAr,chromatic,5,True,ESPRESSO_G2.fits
22,59084.76493496791,-657.959,18.229,2814.312,Sun_200823.1093.fits,439,168.829,-999.9,LFC+ThAr,chromatic,5,True,ESPRESSO_G2.fits
23,59084.76726248664,-533.505,22.149,2760.997,Sun_200823.1094.fits,439,168.946,-999.9,LFC+ThAr,chromatic,5,True,ESPRESSO_G2.fits
24,59084.76959783196,-511.725,14.15,2771.774,Sun_200823.1095.fits,440,168.501,-999.9,LFC+ThAr,chromatic,5,True,ESPRESSO_G2.fits
25,59084.77370596412,-527.795,21.895,2774.079,Sun_200823.1098.fits,441,168.373,-999.9,LFC+ThAr,chromatic,5,True,ESPRESSO_G2.fits
26,59084.77603471444,-584.892,24.264,2802.615,Sun_200823.1099.fits,441,168.543,-999.9,LFC+ThAr,chromatic,5,True,ESPRESSO_G2.fits
27,59084.77835894532,-641.59,17.777,2761.376,Sun_200823.1100.fits,440,167.902,-999.9,LFC+ThAr,chromatic,5,True,ESPRESSO_G2.fits
28,59084.78067069279,-609.261,25.341,2749.762,Sun_200823.1101.fits,438,166.996,-999.9,LFC+ThAr,chromatic,5,True,ESPRESSO_G2.fits
29,59084.78299332355,-589.008,16.303,2797.908,Sun_200823.1102.fits,442,168.279,-999.9,LFC+ThAr,chromatic,5,True,ESPRESSO_G2.fits
