,Unnamed: 0,MJD,V,E_V,CHI2,FILENAME,SNR,EXPTIME,AIRMASS,WAVE_CAL,BARYCOR,RVEPOCH,ONEDSPEC
0,890,59103.659099094424,856.502,19.127,1190.437,Sun_200911.1062.fits,304,600.003,1.000000000038,ThAr,chromatic,5,/Volumes/solar_extracted/extracted/web/2020/200911_solar/Sun_200911.1062.1ds.csv
1,891,59103.666525210625,781.8969999999999,14.254000000000001,1801.644,Sun_200911.1063.fits,370,600.004,1.000000000038,ThAr,chromatic,5,/Volumes/solar_extracted/extracted/web/2020/200911_solar/Sun_200911.1063.1ds.csv
2,892,59103.674205861425,1044.4360000000001,16.204,2451.24,Sun_200911.1064.fits,439,600.004,1.000000000038,ThAr,chromatic,5,/Volumes/solar_extracted/extracted/web/2020/200911_solar/Sun_200911.1064.1ds.csv
3,893,59103.682652787444,1264.4260000000002,12.88,2535.399,Sun_200911.1066.fits,447,600.004,1.000000000038,ThAr,chromatic,5,/Volumes/solar_extracted/extracted/web/2020/200911_solar/Sun_200911.1066.1ds.csv
4,894,59103.69028526247,1574.378,15.66,2629.804,Sun_200911.1067.fits,457,575.123,1.000000000038,ThAr,chromatic,5,/Volumes/solar_extracted/extracted/web/2020/200911_solar/Sun_200911.1067.1ds.csv
5,895,59103.697272299825,1714.568,12.796,2594.2929999999997,Sun_200911.1068.fits,457,519.964,1.000000000038,ThAr,chromatic,5,/Volumes/solar_extracted/extracted/web/2020/200911_solar/Sun_200911.1068.1ds.csv
6,896,59103.70443934442,1730.816,17.266,2630.704,Sun_200911.1070.fits,455,457.716,1.000000000038,ThAr,chromatic,5,/Volumes/solar_extracted/extracted/web/2020/200911_solar/Sun_200911.1070.1ds.csv
7,897,59103.7104771927,1718.226,12.844000000000001,2636.6059999999998,Sun_200911.1071.fits,455,466.436,1.000000000038,ThAr,chromatic,5,/Volumes/solar_extracted/extracted/web/2020/200911_solar/Sun_200911.1071.1ds.csv
8,898,59103.71688740313,1539.8470000000002,11.517999999999999,2648.987,Sun_200911.1072.fits,455,530.2090000000001,1.000000000038,ThAr,chromatic,5,/Volumes/solar_extracted/extracted/web/2020/200911_solar/Sun_200911.1072.1ds.csv
9,899,59103.723640349475,1384.63,10.365,2605.761,Sun_200911.1073.fits,454,503.365,1.000000000038,ThAr,chromatic,5,/Volumes/solar_extracted/extracted/web/2020/200911_solar/Sun_200911.1073.1ds.csv
